name,iata,icao,country
ARP 410 Airlines,,URP,Ukraine
Auckland Regional Rescue Helicopter Trust,,WPR,New Zealand
Aurora Airlines,,URR,Slovenia
Austro Aereo,,UST,Ecuador
Aviation Partners,,WLT,United States
Avialift Vladivostok,,VLV,Russia
Aviacion Comercial de America,,VME,Mexico
Aviast Air,,VVA,Russia
Aviation North,,WLV,United States
Africa West,FK,WTA,Togo
Avient Air Zambia,,VNT,Zambia
Aviazur,,VZR,France
Aviaprad,,VID,Russia
Avirex,G2,VXG,Gabon
Aviaexpress Aircompany,,VXX,Ukraine
AMR Services Corporation,,XAM,United States
Airline Operations Services,,XAO,United States
Airlines 400,,VAZ,Russia
ATRAN Cargo Airlines,V8,VAS,Russian Federation
Ameravia,,VAM,Uruguay
Angkor Air,,VAV,Cambodia
AVB-2004 Ltd,,VBC,Bulgaria
ASECNA,,XKX,France
AT and T Aviation Division,,XAT,United States
Avalair,,VAI,Serbia
Averitt Air Charter,,VRT,United States
Avensa,VE,AVE,Venezuela
Avolar Aerolineas,V5,VLI,Mexico
Avstar Aviation,,VSA,South Africa
AVESCA,,VSC,Colombia
Aviaprom Enterprises,,XAV,Russia
Avia Trans Air Transport,,VTT,Sudan
Aviostart AS,,VSR,Bulgaria
Aviacao Transportes Aereos e Cargas,,VTG,Angola
Assistance Aeroportuaire de L'Aeroport de Paris,,XJA,France
American Flight Service Systems,,XFS,United States
AASANA,,XXV,Bolivia
Australian air Express,,XME,Australia
AMS Group,,XMG,Russia
Air Caraibes Atlantique,,CAJ,France
Air China Cargo,,CAO,China
Aerovias Caribe,,CBE,Mexico
Aerotaxi del Cabo,,CBO,Mexico
Air Columbus,,CBS,Ukraine
Aero Cabo,,CBV,Mexico
Air China,CA,CCA,China
Aerocardal,,CDA,Chile
Aero Condor Peru,Q6,CDP,Peru
Aerotrans,,CDU,Russia
Airline Skol,,CDV,Russia
Aerofan,,CFF,Spain
ACEF,,CFM,Portugal
Africa One,,CFR,Democratic Republic of the Congo
Aero Calafia,,CFV,Mexico
Air Cargo Belize,,CGB,Belize
Aero Clube Do Algarve,,CGV,Portugal
Air Great Wall,,CGW,China
Aircompany Chaika,,CHJ,Ukraine
Air Charter Services,,CHR,Democratic Republic of the Congo
Air Charter Professionals,,CHV,United States
Asia Continental Airlines,,CID,Kazakhstan
Arctic Circle Air Service,5F,CIR,United States
Aviation Charter Services,,CKL,United States
Aerovias Castillo,,CLL,Mexico
Aero Club De Portugal,,CLP,Portugal
Air Care Alliance,,CMF,United States
Aero Continente Dominicana,,CND,Dominican Republic
Air Toronto,,CNE,Canada
Aquila Air,,CNH,United States
Air Consul,,CNU,Spain
Allcanada Express,,CNX,Canada
ATS Private Company,,CPF,Ukraine
Air Corridor,QC,CRD,Mozambique
Air Central,NV,CRF,Japan
Air Cruzal,,CRJ,Angola
Aerotransportes Corporativos,,CRP,Mexico
Air Creebec,,CRQ,Canada
Aero Charter and Transport,,CTA,United States
Air Tenglong,,CTE,China
Aerlineas Centauro,,CTR,Mexico
Aerocuahonte,,CUO,Mexico
Air Chathams,CV,CVA,New Zealand
Air Marshall Islands,CW,CWM,Marshall Islands
Australian Customs Service,,CWP,Australia
Air One Cityliner,,CYL,Italy
Air Transport,,CYO,United States
Access Air,ZA,CYD,United States
Aerocheyenne,,CYE,Mexico
Air Algerie,AH,DAH,Algeria
Aerovias DAP,,DAP,Chile
Air Alpha,,DBA,United States
Air Niagara Express,,DBD,Canada
Aviation Defense Service,,DEF,France
Air Service Groningen,,DEG,Netherlands
Adam Air,KI,DHI,Indonesia
Astar Air Cargo,ER,DHL,United States
Archer Aviation,,DHM,United Kingdom
Aeromedica,,DIC,Mexico
Aerodin,,DIN,Mexico
Antinea Airlines,HO,DJA,Algeria
Air Djibouti,,DJU,Djibouti
Air Dolomiti,EN,DLA,Italy
Aero Modelo,,DLS,Mexico
Aerolineas Del Sur,,DLU,Chile
Aerodinamica de Monterrey,,DMC,Mexico
Aeroservicios Dinamicos,,DMI,Mexico
Aerotaxis Dosmil,,DML,Mexico
Aerodespachos De El Salvador,,DNA,El Salvador
Aeroynamics Malaga,,DNC,Spain
Aerodynamics Incorporated,,DNJ,United States
Aeroflot-Don,D9,DNV,Russia
Air Madrid,NM,DRD,Spain
Airways Flight Training,,DRM,United Kingdom
Aeronaves Del Noreste,,DRO,Mexico
Addis Air Cargo Services,,DSC,Ethiopia
Aero Algarve,,DSK,Portugal
Aex Air,,DST,United States
Aero Davinci International,,DVI,Mexico
Aero Dynamics,,DYN,United States
Aeroservicios Ecuatorianos,,EAE,Ecuador
Aero-Pyrenees,,EAP,France
Air Transport,,EAT,Slovakia
Aero Airlines,EE,EAY,Estonia
Aero Ejecutivo De Baja California,,EBC,Mexico
Air City,4F,ECE,Germany
Aero Ejecutivos RCG,,ECG,Mexico
Aeronautica Castellana,,ECL,Spain
Aerolineas Comerciales,,ECM,Mexico
Aerolineas Nacionales Del Ecuador,,EDA,Ecuador
Air Este,,EET,Spain
Air Mana,,EFC,France
Aer Lingus,EI,EIN,Ireland
Aeroservicios Ejecutivos Corporativos,,EJP,Mexico
Alpi Eagles,E8,ELG,Italy
Arrendoora y Transportadora Aerea,,END,Mexico
Eliossola,,EOS,Italy
Shenzhen Donghai Airlines,,EPA,China
Aeronaves Del Noroeste,,ENW,Spain
Airailes,,EOL,France
Aero Ermes,,EOM,Mexico
Aero Transportes Empresariales,,EPL,Mexico
Epps Air Service,,EPS,United States
Aero Empresarial,,EPE,Mexico
Air S,KY,EQL,Air S
Avianergo,,ERG,Russia
Aero Servicios Regiomontanos,,ERI,Mexico
Aerosec,,ERK,Chile
Aeromaan,,ERM,Mexico
Aerosaba,,ESB,Mexico
Avitat,,ESO,United Kingdom
Aerolineas Ejecutivas Del Sureste,,ESU,Mexico
Aeronautica Le Esperanza,,ESZ,Mexico
ATTICO,,ETC,Sudan
Aero Siete,,ETE,Mexico
Air Atlanta Europe,,EUK,United Kingdom
Air Evex,,EVE,Germany
Aeronautical Academy of Europe,,EVR,Portugal
Air Exchange,,EXG,United States
Atlantic Helicopters,,FAC,Denmark
Argentine Air Force,,FAG,Argentina
Air Fiji,PC,FAJ,Fiji
AF-Air International,,FAN,Angola
Aviation Data Systems,,FBW,United States
Air Carriers,,FCI,United States
Aerofrisco,,FCO,Mexico
Alfa 4,,FCU,Mexico
African Airlines,,FDA,Mali
African Medical and Research Foundation,,FDS,Kenya
Aero Freight,,FGT,Mexico
Aerosafin,,FIC,Mexico
Air Finland,OF,FIF,Finland
Aerodata Flight Inspection,,FII,Germany
Airfix Aviation,,FIX,Finland
Air Pacific,FJ,FJI,Fiji
Air Falcon,,FLD,Pakistan
Atlantic Airways,RC,FLI,Faroe Islands
Air Florida,QH,FLZ,United States
Air Fret De Mauritanie,,FMT,Mauritania
Avio Nord,,FNM,Italy
Aeroflota Del Noroeste,,FNO,Spain
Aero Fenix,,FNX,France
Ford Motor Company,,FRD,United States
African Company Airlines,,FPY,Democratic Republic of the Congo
Afrijet Airlines,,FRJ,Nigeria
Afrika Aviation Handlers,,FRK,Kenya
Afrique Chart'air,,FRQ,Cameroon
Aerofreight Airlines,,FRT,Russia
Aereos Limited,,FST,United Kingdom
Air Affaires Tchad,,FTC,Chad
ABC Bedarsflug,,FTY,Austria
Air Iceland,NY,FXI,Iceland
Air Philippines,2P,GAP,Philippines
Aerogaucho,,GAU,Uruguay
Aero Business Charter,,GBJ,Germany
Atlantic Airlines,,GBN,Gabon
Aeronor,,GCF,Spain
Aerogem Cargo,,GCK,Ghana
Aerovias del Golfo,,GFO,Mexico
Aeronautica,,GGL,Angola
Air Georgian,ZX,GGN,Canada
Aviance,,GHL,United Kingdom
Air Ghana,,GHN,Ghana
African International Transport,,GIL,Guinea
Air Guinee Express,2U,GIP,Guinea
Africa Airlines,,GIZ,Guinea
Air Gemini,,GLL,Angola
Aero Charter,,GLT,United States
Aguilas Mayas Internacional,,GME,Guatemala
Aerotaxis Guamuchil,,GMM,Mexico
Aeroservicios Gama,,GMS,Mexico
Amber Air,0A,GNT,Lithuania
Alberta Government,,GOA,Canada
Air Scotland,,GRE,Greece
Air Georgia,DA,GRG,Georgia
Air Cargo Center,,GRI,Sao Tome and Principe
Air Greenland,GL,GRL,Denmark
Allegro,LL,GRO,Mexico
Agroar - Trabalhos Aereos,,GRR,Portugal
Aircompany Grodno,,GRX,Belarus
Airlift Alaska,,GSP,United States
Agrocentr-Avia,,GSV,Kazakhstan
Altin Havayolu Tasimaciligi Turizm Ve Ticaret,,GTC,Turkey
Atlas Air,5Y,GTI,United States
Aerotaxi Grupo Tampico,,GTP,Mexico
Aerotaxis de Aguascalientes,,GUA,Mexico
Air Guyane,GG,GUY,French Guiana
Air Victoria Georgia,,GVI,Georgia
Air D'Ayiti,H9,HAD,Haiti
Air Comores International,GG,HAH,Comoros
Air Taxi,,HAT,France
Aerohein,,HEI,Chile
Atlantic Air Lift,,HGH,France
Atlantic Airlines de Honduras,,HHA,Honduras
Aviacion Ejecutiva De Hildago,,HID,Mexico
Air Haiti,,HJA,Haiti
Al Rais Cargo,,HJT,United Arab Emirates
Air-Invest,,HKH,Hungary
Air Tahoma,,HMA,United States
Air Nova,,HMT,Canada
Aero Homex,,HOM,Mexico
Almiron Aviation,,HPO,Uganda
Avinor,,HQO,Norway
Airlink Airways,,HYR,Ireland
Air Horizon,8C,HZT,Togo
AC Insat-Aero,,IAE,Russia
Air Inter Cameroun,,ICM,Cameroon
Air Lift,,IFI,Greece
Aero Survey,,IKM,Ghana
Aero Airline,,ILK,Kazakhstan
Airtime Charters,,IME,United Kingdom
Aerotaxis Cimarron,,IMN,Mexico
Aero International,,INA,Mexico
Aeroingenieria,,ING,Chile
Aeroservicios Intergrados de Norte,,INO,Mexico
Airpull Aviation,,IPL,Spain
Arvand Airlines,,IRD,Iran
Atlas Aviation Group,,IRH,Iran
Aram Airline,,IRW,Iran
Aria Tour,,IRX,Iran
Aerotaxi,,ITE,Czech Republic
Avita-Servicos Aereos,,ITF,Angola
Aero Citro,,ITO,Mexico
Air Executive,,IVE,Spain
Aviainvest,,IWS,Russia
Air Bagan,W9,JAB,Myanmar
Aerojal,,JAD,Mexico
Airlink,,JAR,Austria
Ambjek Air Services,,JEE,Nigeria
Avfinity,,UTX,United States
Alexandair,,JMR,Canada
Air Jamaica Express,,JMX,Jamaica
Air Swift Aviation,,JOA,Australia
Aerojobeni,,JOB,Mexico
Atyrau Air Ways,IP,JOL,Kazakhstan
Aerosmith Aviation,,JPR,United States
Arrendamiento de Aviones Jets,,JTS,Mexico
Aero Juarez,,JUA,Mexico
Air Canada Jazz,QK,JZA,Canada
Asia Aero Survey and Consulting Engineers,,KAA,Republic of Korea
Air Kirovograd,,KAD,Ukraine
Air Mach,,KAM,Italy
Air Kufra,,KAV,Libya
Arkhabay,,KEK,Kazakhstan
Aero Charter Krifka,,KFK,Austria
Air Kraft Mir,,KFT,Uzbekistan
Air Concorde,,KGD,Bulgaria
Alexandria Airlines,,KHH,Egypt
Afit,,KIE,Germany
Air South,,KKB,United States
Atlasjet,KK,KKK,Turkey
Air Mali International,,KLB,Mali
Aerokaluz,,KLZ,Mexico
Air Koryo,JS,KOR,Democratic People's Republic of Korea
Araiavia,,KOY,Kazakhstan
AeroSucre,,KRE,Colombia
Air Kokshetau,,KRT,Kazakhstan
Air Kissari,,KSI,Angola
Aeronavigaciya,,KTN,Ukraine
Alliance Avia,,KVR,Kazakhstan
Av Atlantic,,KYC,United States
Air Astana,KC,KZR,Kazakhstan
Aerovias De Lagos,,LAG,Mexico
Albanian Airlines,LV,LBC,Albania
Albisa,,LBI,Mexico
Albatros Airways,,LBW,Albania
Aerolineas Aereas Ejecutivas De Durango,,LDG,Mexico
Aerologic,,LDL,Russia
Al-Donas Airlines,,LDN,Nigeria
Aero Lider,,LDR,Mexico
Aleem,,LEM,Egypt
Aerolineas Ejecutivas,,LET,Mexico
Air Alfa,,LFA,Turkey
Aero Control Air,,LFC,Canada
Aerolaguna,,LGN,Mexico
Al Ahram Aviation,,LHR,Egypt
Alidaunia,D4,LID,Italy
Al-Dawood Air,,LIE,Nigeria
American Aviation,,LKP,United States
Airlink Solutions,,LKS,Spain
Air Solutions,,LKY,United States
Alliance Air,CD,LLR,India
Aerolima,,LMA,Mexico
Alamia Air,,LML,Libya
Air Plus Argentina,,LMP,Argentina
Almaty Aviation,,LMT,Kazakhstan
Aerolineas Mexicanas J S,,LMX,Mexico
Air Almaty,,LMY,Kazakhstan
Air Almaty ZK,,LMZ,Kazakhstan
Aerolane,XL,LNE,Ecuador
Airlink,,LNK,South Africa
Aerolineas Internacionales,,LNT,Mexico
Alok Air,,LOK,Sudan
Air Saint Louis,,LOU,Senegal
Alpine Aviation,,LPC,South Africa
Air Alps Aviation,A6,LPV,Austria
Alrosa-Avia,,LRO,Russia
Al Rida Airways,,LRW,Mauritania
Aurela,,LSK,Lithuania
Aerobusinessservice,,LSM,Russia
Alsair,,LSR,France
Aerotaxis Latinoamericanos,,LTI,Mexico
Alninati Aeronautics,,LUC,Switzerland
Atlantis European Airways,TD,LUR,Armenia
Aliven,,LVN,Italy
Aviavilsa,,LVR,Lithuania
Air Luxor GB,L8,LXG,Guinea-Bissau
Air Luxor,LK,LXR,Portugal
Apatas Air,,LYT,Lithuania
Air Ban,,LZP,Bulgaria
Air Lazur,,LZR,Bulgaria
Aerodromo De La Mancha,,MAM,Spain
Air Mauritius,MK,MAU,Mauritius
Avag Air,,MBA,Austria
Air Manas,,MBB,Kyrgyzstan
Airjet Exploracao Aerea De Carga,,MBC,Angola
Aeriantur-M,,MBV,Moldova
Air Mercia,,MCB,United Kingdom
Air Medical,,MCD,United Kingdom
Aerolineas Marcos,,MCO,Mexico
Atlantic Aero and Mid-Atlantic Freight,,MDC,United States
Air Madagascar,MD,MDG,Madagascar
Aerosud Charter,,MDX,South Africa
Air Meridan,,MEF,Nigeria
Aero McFly,,MFL,Mexico
Asia Pacific Airlines,,MGE,United States
Aeromagar,,MGS,Mexico
Aero Premier De Mexico,,MIE,Mexico
Air Moldova,9U,MLD,Moldova
Amal Airlines,,MLF,Djibouti
Air Mali,,MLI,Mali
Air Madeleine,,MLN,Canada
Aermarche,,MMC,Italy
Air Alsie,,MMD,Denmark
Aviation Company Meridian,,MMM,Russia
AMP Incorporated,,MMP,United States
Airmax,,MMX,Peru
Aerolineas Amanecer,,MNE,Mexico
Aero Mongolia,M0,MNG,Mongolia
Air Monarch Cargo,,MOC,Mexico
Aeropublicitaria De Angola,,MOP,Angola
Aerolineas De Morelia,,MOR,Mexico
Air Plus Comet,A7,MPD,Spain
Aeromexpress,QO,MPX,Mexico
Air ITM,,MQT,France
Aeromorelos,,MRL,Mexico
Aerocharter,,MRM,Canada
Abas,,MRP,Czech Republic
Air Mauritanie,MR,MRT,Mauritania
Air Cairo,,MSC,Egypt
Air Sport,,MSK,Bulgaria
Aeromas,,MSM,Uruguay
Aerol,,MSO,Mexico
Aero-Kamov,,MSV,Russia
Aerotaxis Metropolitanos,,MTB,Mexico
Aeromet Linea Aerea,,MTE,Chile
Air Metack,,MTK,Angola
Air Montegomery,,MTY,United Kingdom
Aerotaxi Mexicano,,MXO,Mexico
Aero Yaqui Mayo,,MYS,Mexico
AVC Airlines,,MZK,Japan
Aerovias Montes Azules,,MZL,Mexico
Aeroland Airways,3S,,Greece
Astair,8D,,Russian Federation
Albarka Air,F4,NBK,Nigeria
ACA-Ancargo Air Sociedade de Transporte de Carga Lda,,NCL,Angola
Aero Servicios de Nuevo Laredo,,NEL,Mexico
Angoavia,,NGV,Angola
Aeroni,,NID,Mexico
Aeroejecutiva Nieto,,NIE,Mexico
Aero Contractors,AJ,NIG,Nigeria
Aerokuzbass,,NKZ,Russia
Atlantic Airlines,,NPT,United Kingdom
Atlantic Richfield Company,,NRS,United States
Aerolineas Sosa,,NSO,Honduras
Aero Norte,,NTD,Mexico
Air Inter Ivoire,,NTV,Ivory Coast
Aeroservicios De Nuevo Leon,,NUL,Mexico
Avial NV Aviation Company,,NVI,Russia
Airwing,,NWG,Norway
Air Next,,NXA,Japan
Arkhangelsk 2 Aviation Division,,OAO,Russia
Aerogisa,,OGI,Mexico
Aerolineas Olve,,OLV,Mexico
Aeromega,,OMG,United Kingdom
Air One Nine,,ONR,Libya
Air Ontario,,ONT,Canada
Aerocorp,,ORP,Mexico
Action Air,,ORS,Italy
Aerosan,,OSN,Mexico
Aviapartner Limited Company,,OSO,Russia
Aliparma,,PAJ,Italy
Air Parabet,,PBT,Bangladesh
Air Burundi,8Y,PBU,Burundi
Aeropostal Cargo de Mexico,,PCG,Mexico
Air Pack Express,,PCK,Spain
Air Palace,,PCS,Mexico
Aeropelican Air Services,OT,PEL,Australia
Aerolineas Chihuahua,,PFI,Mexico
Air Cargo Express International,,PFT,United States
Al Farana Airline,,PHR,Egypt
Ave.com,,PHW,United Arab Emirates
Air South West,,PIE,United Kingdom
Aeroservicios California Pacifico,,PIF,Mexico
AST Pakistan Airways,,PKA,Pakistan
Aero Personal,,PNL,Mexico
Aero Servicios Platinum,,PNU,Mexico
Apoyo Aereo,,POY,Mexico
Aerotransportes Privados,,PRI,Mexico
Atlantic Coast Jet,,PRT,United States
Air Paradise International,AD,PRZ,Indonesia
Aeroservicio Sipse,,PSE,Mexico
Aeroservicios Corporativos De San Luis,,PSL,Mexico
Aerotransportes Privados,,PVA,Mexico
Aereo Taxi Paraza,,PZA,Mexico
Air Class Lineas Aereas,QD,QCL,Uruguay
Aviation Consultancy Office,,QEA,Australia
Aero Taxi,,QAT,Canada
Aero Taxi Aviation,,QKC,United States
Aviation Quebec Labrador,,QLA,Canada
African Safari Airways,QS,QSC,Kenya
Aero Quimmco,,QUI,Mexico
Alada,,RAD,Angola
Aerotur-Air,,RAI,Kazakhstan
Air Center Helicopters,,RAP,United States
Aur Rum Benin,,RBE,Benin
Aeroserivios Del Bajio,,RBJ,Mexico
Airbus France,4Y,RBU,France
Air Roberval,,RBV,Canada
Arubaexel,,RBX,Aruba
Air Charters Eelde,,RCC,Netherlands
Aerocer,,RCE,Mexico
Aeroflot-Cargo,,RCF,Russia
Air Mobility Command,MC,RCH,United States
Air Cassai,,RCI,Angola
Aero Renta De Coahuila,,RCO,Mexico
Aerocorp,,RCP,Mexico
Aerolineas Regionales,,RCQ,Mexico
Atlantic S.L.,,RCU,Spain
Air Service Center,,RCX,Italy
Adygeya Airlines,,RDD,Russia
Air Ada,,RDM,Mauritania
Aer Arann,RE,REA,Ireland
Aero-Rent,,REN,Mexico
Australian Maritime Safety Authority,,RES,Australia
Air Austral,UU,REU,France
Aero-Rey,,REY,Mexico
Aero Africa,,RFC,Swaziland
Aerotransportes Rafilher,,RFD,Mexico
Argo,,RGO,Dominican Republic
Airbourne School of Flying,,RGT,United Kingdom
Air Archipels,,RHL,France
Aviation Ministry of the Interior of the Russian Federation,,RIF,Russian Federation
Aeris Gestion,,RIS,Spain
Asian Spirit,6K,RIT,Philippines
Aeroservicios Jet,,RJS,Mexico
Air Afrique,RK,RKA,Ivory Coast
Airlinair,A5,RLA,France
Air Nelson,,RLK,New Zealand
Air Leone,,RLL,Sierra Leone
Aero Lanka,QL,RLN,Sri Lanka
Air Alize,,RLZ,France
Air Amder,,RMD,Mauritania
Armenian Airlines,,RME,Armenia
Armenian International Airways,MV,RML,Armenia
Arm-Aero,,RMO,Armenia
Air Max,,RMX,Bulgaria
Air Salone,20,RNE,Sierra Leone
Aeronem Air Cargo,,RNM,Ecuador
Air Cargo Masters,,RNR,United States
Armavia,U8,RNV,Armenia
Aeroeste,,ROE,Bolivia
Aero Gen,,ROH,Mexico
Avior Airlines,,ROI,Venezuela
Aeroel Airways,,ROL,Israel
Aeromar,BQ,ROM,Dominican Republic
Aeroitalia,,ROO,Italy
Aerodan,,ROD,Mexico
AeroRep,P5,RPB,Colombia
Aerolineas Del Pacifico,,RPC,Ecuador
Aero Roca,,RRC,Mexico
Aerotransportes Internacionales De Torreon,,RRE,Mexico
Acvila Air-Romanian Carrier,,RRM,Romania
Aerolineas Ejecutivas Tarascas,,RSC,Mexico
Aero-Service,BF,RSR,Republic of the Congo
Aerosur,5L,RSU,Bolivia
Aeronorte,,RTE,Portugal
Artis,,RTH,France
Arhabaev Tourism Airlines,,RTO,Kazakhstan
Air Turquoise,,RTQ,France
Aerotucan,,RTU,Mexico
Air Anastasia,,RUD,Ukraine
Air Rum,,RUM,Sierra Leone
ACT Havayollari,,RUN,Turkey
Air VIP,,RVP,Portugal
Aircompany Veteran,,RVT,Armenia
Alliance Express Rwanda,,RWB,Rwanda
Arrow Ecuador Arrowec,,RWC,Ecuador
Aerogroup 98 Limited,,RWY,United Kingdom
Aeroxtra,,RXT,Mexico
Express Air Charter,,RXX,Canada
Air Whitsunday,,RWS,Australia
Aero Zambia,,RZL,Zambia
Aero Zano,,RZN,Mexico
Anoka Air Charter,,RZZ,United States
Aerosaab,,SBH,Mexico
Associated Aviation,,SCD,Nigeria
American Jet International,,SCM,United States
Air Santo Domingo,EX,SDO,Dominican Republic
Aero Sudpacifico,,SDP,Mexico
Aero Servicios Ejecutivas Del Pacifico,,SEF,Mexico
Aero California,JR,SER,Mexico
A-Safar Air Services,,SFM,Nigeria
Aerosegovia,,SGV,Nicaragua
Airshare Holdings,,SHH,United Kingdom
Aerosiyusa,,SIY,Mexico
Aero Silza,,SIZ,Mexico
Air San Juan,,SJN,United States
Aero-North Aviation Services,,SKP,Canada
Aero Sami,,SMI,Mexico
Avient Aviation,Z3,SMJ,Zimbabwe
Aerolineas Sol,,SOD,Mexico
Air Soleil,,SOE,Mauritania
Aero Soga,,SOG,Guinea-Bissau
Airspeed Aviation,,SPD,Canada
Air Service,M3,SPJ,Macedonia
Aeroservicios Ejecutivos Del Pacifico,,SPO,Mexico
Asian Aerospace Service,,SPY,Thailand
Airworld,,SPZ,South Africa
Alsaqer Aviation,,SQR,Libya
Air Safaris and Services,,SRI,New Zealand
Aero Servicio Corporativo,,SRV,Mexico
Air Sultan,,SSL,Sierra Leone
Aero 1 Pro-Jet,,SSM,Canada
Airquarius Air Charter,,SSN,South Africa
Aeropac,,STK,United States
Air St. Thomas,,STT,United States
Aerolineas Del Sureste,,SUE,Mexico
Aerial Surveys (1980) Limited,,SUY,New Zealand
Air Slovakia,GM,SVK,Slovakia
Adler Aviation,,SWH,Canada
Aircompany Yakutia,R3,SYL,Russia
Aerosud Aviation,,SYT,South Africa
Aeroservicios de La Costa,,TAA,Mexico
Aeromar,VW,TAO,Mexico
Aerotrebol,,TBL,Mexico
Aero Taxi de Los Cabos,,TBO,Mexico
Air Turks and Caicos,JY,TCI,Turks and Caicos Islands
Aerotranscolombina de Carga,,TCO,Colombia
Air Cargo Express,,TDG,United States
Atlas Helicopters,,TDT,United Kingdom
Air Today,,TDY,United States
Aero Servicios Azteca,,TED,Mexico
Arkefly,OR,TFL,Netherlands
Antair,,TIR,Mexico
Atlantique Air Assistance,,TLB,France
Aero Taxi Autlan,,TLD,Mexico
Aero Util,,TLE,Mexico
Aero Toluca Internactional,,TLU,Mexico
Aero Taxi del Centro de Mexico,,TME,Mexico
Aerotropical,,TOC,Mexico
Air Tomisko,,TOH,Serbia
Airlines PNG,CG,TOK,Papua New Guinea
Aero Tanala,,TON,Mexico
Aero Tropical,,TPB,Angola
Air Cal,TY,TPC,France
Air Horizon,,TPK,Chad
Aero Taxi del Potosi,,TPO,Mexico
Aeroturquesa,,TQS,Mexico
Airmark Aviation,,TRH,United States
AirTran Airways,FL,TRS,United States
Air Transat,TS,TSC,Canada
airtransse,,TSQ,Japan
Aerolineas Turisticas del Caribe,,TTB,Mexico
Avcenter,,TTE,United States
Air Tungaru,,TUN,Kiribati
Avialeasing Aviation Company,EC,TWN,Uzbekistan
Aerotaxis del Noroeste,,TXD,Mexico
Aerotaxis Alfe,,TXF,Mexico
Aereotaxis,,TXI,Mexico
Austrian Arrows,VO,TYR,Austria
Aero Tomza,,TZA,Mexico
Air Zambezi,,TZT,Zimbabwe
Afra Airlines,,UAG,Ghana
Aerostar Airlines,,UAR,Ukraine
Air Division of the Eastern Kazakhstan Region,,UCK,Kazakhstan
Aero-Charter Ukraine,DW,UCR,Ukraine
Air LA,,UED,United States
Air Ukraine,6U,UKR,Ukraine
Air Umbria,,UMB,Italy
Atuneros Unidos de California,,UND,Mexico
Aeroclub Flaps,,FLP,Spain
Aerolineas Galapagos (Aerogal),2K,GLG,Ecuador
Air Castle Corporation / Global Airways,,GLB,United States
Alrosa Mirny Air Enterprise,6R,DRU,Russia
Bearing Supplies Limited,,PVO,United Kingdom
Balkan Agro Aviation,,BAA,Bulgaria
Bahrain Air BSC (Closed),,BAB,Bahrain
BAC Leasing Limited,,BAC,United Kingdom
BAE Systems,,BAE,United Kingdom
Belgian Air Force,,BAF,Belgium
Baker Aviation,8Q,BAJ,United States
Blackhawk Airways,,BAK,United States
Britannia Airways,,BAL,United Kingdom
Business Air Services,,BAM,Canada
British Antarctic Survey,,BAN,United Kingdom
Bradly Air (Charter) Services,,BAR,Canada
Bissau Airlines,,BAU,Guinea-Bissau
Bay Aviation Ltd,,BAV,Bangladesh
British Airways,BA,BAW,United Kingdom
Best Aero Handling Ltd,,BAX,Russia
Bayon Airlines,,BAY,Cambodia
Bannert Air,,BBA,Austria
Biman Bangladesh Airlines,BG,BBC,Bangladesh
Bluebird Cargo,BF,BBD,Iceland
Beibars CJSC,,BBS,Kazakhstan
Bravo Airlines,,BBV,Spain
Blue Bird Aviation,,BBZ,Kenya
BACH Flugbetriebsges,B4,BCF,Austria
Blue Islands,,BCI,United Kingdom
British Caribbean Airways,,BCL,United Kingdom
British Charter,,BCR,United Kingdom
BCT Aviation,,BCT,United Kingdom
Business Aviation Center,,BCV,Ukraine
Blue Dart Aviation,BZ,BDA,India
B&H Airlines,JA,BON,Bosnia and Herzegovina
Bissau Discovery Flying Club,,BDF,Guinea-Bissau
Belgian Army,,AYB,Belgium
Badr Airlines,,BDR,Sudan
Best Aviation Ltd,,BEA,Bangladesh
Belgorod Aviation Enterprise,,BED,Russia
Bar Harbor Airlines,,AJC,United States
Balear Express,,BEF,Spain
Bel Air Helicopters,,BEH,Denmark
Berkut Air,,BEK,Kazakhstan
BETA - Brazilian Express Transportes Aereos,,BET,Brazil
Basler Flight Service,,BFC,United States
Bear Flight,,BFG,Sweden
Buffalo Airways,J4,BFL,Canada
Bombardier,,BFO,Canada
Burkina Airlines,,BFR,Burkina Faso
Business Flight Sweden,,BFS,Sweden
Bahrain Defence Force,,BFW,Bahrain
BH Air,,BGH,Bulgaria
British Gulf International,,BGI,S
British Gulf International-Fez,,BGK,Kyrgyzstan
Benin Golf Air,A8,BGL,Benin
Bugulma Air Enterprise,,BGM,Russia
Budget Air Bangladesh,,BGR,Bangladesh
Bergen Air Transport,,BGT,Norway
Buddha Air,,BHA,Nepal
Balkh Airlines,,BHI,Afghanistan
Bristow Helicopters,,BHL,United Kingdom
Bristow Helicopters Nigeria,,BHN,Nigeria
Bhoja Airlines,,BHO,Pakistan
Belair Airlines,4T,BHP,Switzerland
Bighorn Airways,,BHR,United States
Bahamasair,UP,BHS,Bahamas
Bright Air,,BHT,Netherlands
Bringer Air Cargo Taxi Aereo,E6,,Brazil
Balkan Bulgarian Airlines,LZ,,
BA Connect,TH,,United Kingdom
Bosphorus European Airways,,BHY,Turkey
Binair,,BID,Germany
Big Island Air,,BIG,United States
British International Helicopters,BS,BIH,United Kingdom
Billund Air Center,,BIL,Denmark
Boise Interagency Fire Center,,BIN,United States
Bird Leasing,,BIR,United States
Bizjet Ltd,,BIZ,United Kingdom
Baja Air,,BJA,Mexico
Baltic Jet Aircompany,,BJC,Latvia
Business Jet Solutions,,BJS,United States
